id,views,likes,dislikes,comments
woJJNz1ZAV0,341134,18017,439,6073
8tbQHHso0oY,1107916,1807,269,1545
w5qMOyPuUqU,170707,1152,178,166
NVCqz2BDfcQ,946859,37986,816,2006
TpIqNpWtKEU,275669,13106,317,1197
o4qUbIZn538,650469,17003,185,1102
ceqntSXE-10,482153,76203,477,9580
skhu76iBvtU,211868,5610,853,912
oWQuB2lVQLc,496192,1503,443,1020
qntHpRYIJOM,375652,23771,207,1777
QldBP574S4I,35401,1309,27,39
mXHAHcVfQIs,190106,6646,510,756
LUGgIynLlPg,183670,10020,355,590
o-y6Q0bANm4,265303,1475,110,273
pkIr5FaNGhU,219605,24237,187,2941
3t2jdkDBfPc,2742984,70743,7557,8752
njo5kr1r4B8,93198,607,46,206
2AkE49hZfr4,721270,25232,1401,1750
kVYTGWqffzk,778516,32322,382,16710
pw3iSkTRJWw,117022,466,135,24
bsgocWaULIU,16921,187,0,5
j9nCXKlZaSM,174130,4565,292,621
L1fwxUV6GJE,107331,206,5,8
0PpNlNJ6Nng,1842393,99086,1339,11800
OA0vhAKUD0g,32941,149,2,5
VDMOFa8iRqo,27910,3360,23,695
L-ixmHzXl3w,1388115,17378,6835,1517
9_8mXKCBtm0,161971,6130,169,907
vqfU6N0IU5Y,12603,90,1022,8
5f-DW6Oq2cU,125273,3897,36,481
AuAc1Vhdxz0,403223,2344,251,535
jGEJgk_2UM8,248993,10984,136,2063
H8IWLEtFt9A,122282,0,0,0
TZ2mEuBweWY,943626,52806,4908,6065
w749rQf9gl8,64386,1639,86,472
H5ZoBYWFxr4,549498,11618,912,1571
GVtgu_b7svA,58675,390,28,53
JKrqaPn-ulk,13293,111,3,28
psDauoxUj9A,624328,7100,398,971
VvlBSgUrNSQ,694624,20783,749,2147
QbBNjjZthsg,294947,16263,294,1678
SwnP04VvfOY,40454,2,5,2
5u-nn4Bb4f0,291697,2623,185,347
0RFhWyM6qbA,635236,5945,722,1483
GgVmn66oK_A,544770,7848,1171,3981
nATGvlGP47o,1547309,17913,551,1678
LuOaMDzyaXE,387351,9814,6721,2382
9bLSykjNLGY,235156,13078,209,1466
qLxfqXRHup0,85127,586,55,256
ulduUfiTV7M,226051,1376,112,144
YYOCmR5Lvbw,758492,11936,160,1472
4du1KXBl4YU,632747,4330,2183,2869
QOi1D6v-_D4,29616,156,32,185
hM7diCCnyKg,10037,33,66,7
1f-94EP6Nk8,212040,10217,125,1000
ySJZJ-glsjM,157289,1895,187,422
I2qScVQxjpo,236040,29389,121,3336
F9ryLRmaBEM,1237072,26947,534,701
IF4Cbb_82l0,318474,1857,2450,1165
ItYOdWRo0JY,1836419,28647,17819,7860
gjXrm2Q-te4,1611093,58474,837,3294
VsYmwBOYfW8,2765121,35531,1705,2388
kgaO45SyaO4,3701763,56562,2495,11608
YvfYK0EEhK4,462490,14132,795,666
5530I_pYjbo,977285,87617,391,5575
0hKHdzTMAcI,445043,8976,131,466
bAkEd8r7Nnw,1529652,63996,896,4697
Ax1P5Q8Kr9g,971117,50402,1526,10834
LXDAu8DnALw,853635,43655,213,2252
ve3oQBjcAGI,1032547,34751,1305,7375
WKMOuDoVxFw,119437,184,33,267
gFbY974MF88,1503131,20618,607,2676
seGgZp-XYdM,555499,23818,270,1112
