id,views,likes,dislikes,comments
UJC-hJbmlNA,6286,40,2,10
3xiFKybX2RI,27004,6889,54,639
vV-F3sY34u4,20917,104,6,1
3s1rvMFUweQ,1053632,25562,2294,2757
0s12_01FIko,248886,52487,284,4012
V0VCNyvc9Mk,69295,1712,86,79
WI5MSR8BgXE,697919,21239,825,2112
zPn6Kl-RIkQ,3996,33,1,0
KXb58FyoIa4,8873,1267,13,142
_xMcC2uIseE,21903,966,14,21
hs6aBUAbTWc,38892,48,2,4
vmCjs1ZGpdw,17472,675,37,74
sAOqENI8p9Q,3675,454,8,63
o8_gcXkd8EM,5723,347,27,149
gvvLino2tNY,3038,20,4,2
dAHb2GDx6ok,104879,8108,1273,1085
mB7DwV9zRzg,5145,468,8,19
-7K9G4eWzJc,154465,147,74,57
ajBkZfW0nUQ,40802,341,34,13
x-qhQespWm0,106497,7989,177,806
7kvjzw0AQY0,1872,96,6,4
L8DnWMqtxjE,512759,32876,412,815
mvFGr9q0vss,3116,75,1,1
0yIWz1XEeyc,1309699,103761,4613,12143
O9g-hqEnfUo,43849,111,49,18
d9ndEyk2lBw,151624,106,35,53
0pNCxK0Hdl8,11553,1225,44,276
JzCsM1vtn78,4477587,292841,4124,36391
Dx7S34lNt6A,41887,1138,48,39
QSwlPz3ruYA,11633,191,13,5
Nfd31XfFZ94,61222,3982,172,448
jRl689eyaWg,6143,727,13,19
Zw5jzd4BvBY,2244,305,6,81
PpvzVcnICJo,100352,7793,83,1680
Ttqo0pFoAAM,2032,69,3,0
RtPf3dHF8uM,30726,39,22,35
xQW3-CeUV2c,10120,1242,26,175
dTuYRCf-G1E,36827,231,22,54
MGeSKdq1V20,3033,12,0,0
Mwsy6T99j04,33278,109,18,74
5qpjK5DgCt4,3191442,146043,5339,8181
CZCQH6DGX3w,33363,84,27,168
i0TXj8cjVfs,162706,7211,417,2022
hcuAuv-kkyg,56195,222,57,37
_0FiEmKkIHU,6481,20,0,2
e_XgSU1X4Ms,2740,209,5,24
7J44ynoFWSk,3639,451,7,44
jAdVVPw3Sao,3203,27,1,1
Nr3AuidaiSo,327514,31437,247,2839
5dCjl2efnyQ,6742,581,4,54
W-4d6rdrg3E,762127,103591,1528,31006
eAlsZp9S5x0,207501,14306,227,4191
DqiMJ6dAtC8,941864,79279,695,69745
_4nBM09BSEI,544971,4918,1131,846
RyEZQV9CwAM,487248,57351,652,6573
RyMVtv5wCIU,1261625,71056,1579,5529
o7jUddH52JY,160373,432,68,67
t7cL_jDyuUI,25732,65,40,26
Nr-EpdBWeCE,12870,15,1,7
IBRok8hS72o,79417,3,21,11
BUdI6ot2j-8,218587,727,188,323
6mux5Q9AGfE,668353,39436,438,1999
SWhfMrcS9eM,376644,32195,249,1795
eBaYLHNmlLs,195442,20454,230,3098
ce2GdkBgYaE,129572,11731,167,1892
Y_r7bvUt-YM,91812,191,81,113
KMXIKSi96LY,59543,0,0,44
VQXfLFWhKRo,675008,2056,444,304
QuSEbo03fc4,306290,21532,585,1462
oPD8Z07zK4U,29385,608,18,0
cnOrjcG_Sxo,353534,3458,337,954
1GYQSPvoYww,110067,6136,79,369
4wiO5sGTHxg,12951,16,19,14
Q2XDusl1wR4,35055,145,78,207
ZMxnWZktTRA,25584,8,19,9
lI8TfgG2k6Y,52166,651,128,822
50jQol_-2dM,148635,587,125,201
XhquqP9xSrI,164986,264,35,106
r1DvFVEL9As,62446,279,72,201
fSZC1S0JpJM,122378,403,96,30
ok4tCywAlXc,109176,335,16,42
sB1btJg17Sg,103176,611,79,51
Lz58Ch1VnR8,338216,1665,146,916
k6F_JlX6LKg,10156,109,7,7
e7RcwQWSngE,138230,21348,296,1511
HIUJFnY9ILE,99957,4248,272,1007
YaLmzawRjlk,132220,5574,227,934
iaoieyQ749w,73639,4420,73,337
lfWfef1z3Yc,6715,60,6,2
b6X9vE4CzMU,17074,101,15,4
Ehke7aPI9l0,612569,29530,641,5104
KFz_JBteACQ,18283,168,13,164
DcTZilYN_1g,415589,1020,214,138
Y4nEk2Y8HfY,45317,380,187,298
oyvN5ExU4fE,325176,9024,232,494
m7e3Yfc-N6k,81292,4145,185,408
AS-J_xhmwWg,7499,371,2,14
f29C4nLLvLQ,44535,3947,52,557
tsMw-VMUtNU,303516,880,272,476
rEexgn24Zd0,10578,37,6,5
VHk0NJJYK2U,95149,528,80,10
YCQEo_2f5SU,178523,0,0,114
084uZsxEAIU,88335,946,151,232
Grjf061dV4w,21148,1680,31,172
htC3S04x4zw,93086,601,69,34
cwMGtzZrr1g,138401,308,218,41
Cy6U9rlxXNo,9967,1394,17,94
ZIQIYOvn0t0,322885,24798,274,1933
EnBfzD0HhtM,1693612,9195,910,3002
3W9uwoM3WAc,90997,6769,207,756
5nEogChRGE8,457646,8207,274,862
NPi7GUNVMoM,395276,52059,445,1257
VsYmwBOYfW8,2765121,35532,1705,2388
