id,views,likes,dislikes,comments
OA0vhAKUD0g,32941,149,2,5
wczm1faUZ1Q,200264,2947,317,2321
Qm3YbY5oI8w,36520,1507,55,171
cWSU_BDxayw,11868,520,9,95
AE8tATPge7o,786155,37126,895,6091
wJwP7MigYtc,254226,32405,2117,1665
KSj3XHuABmI,31432,1695,144,62
d8JxIUGWBn8,54742,82,9,14
-0ilM33s70k,6177,0,0,73
MxRlVbhMcRg,419325,3574,258,555
tx6hcX7BpC4,133157,2793,209,501
aq2_dEBgPeg,61222,4933,181,337
dqmchgH9jwg,32873,1508,75,288
1YhtkrC2t0c,260199,4833,302,860
ITyHga-RWoE,349871,24873,9270,10501
ZGBZVovL3Yo,30907,1766,81,311
CXaufwUE_e4,66652,1509,30,180
yq-S3TMtW64,36503,264,4,8
_PuX0A35lAI,13690,595,148,562
kevrZ_P4VLI,17747,583,20,14
izPKLdfZo64,542113,4241,426,439
3OVAxYFad_8,8935,39,23,8
jGRyOPw93zg,165137,2806,278,218
YH1obme9L20,17498,47,5,5
I-ADdAJ-its,32984,2164,35,295
_uM5kFfkhB8,2987945,187464,9850,26629
giUivdCbg0g,249031,1225,91,409
XpQnnGdFe98,17306,1263,27,182
Y8kD7G5xQJk,226795,1634,433,251
QRcfpfyPpO4,128811,3622,159,1068
AT76sOaT8Zk,285197,1213,128,735
HWtIkDpoSK8,1460,1,0,0
W2eM585DawQ,11356,346,30,158
TUmyygCMMGA,256426,12656,1363,2368
Cy9Gb9mVPUk,32277,1686,25,112
SQtTYtTkha8,72341,7104,126,242
YMf97kBw_BA,207724,1216,142,180
6-m1wRPvzlk,5464,264,4,5
dVUQ48GY7WQ,57574,3335,77,580
CNF2F0oxRPI,145860,1835,115,150
oUPE3tQNFd0,45571,2258,126,152
rvwM535cjV4,27935,39,134,1
M1XtccmX70A,191639,2120,65,263
w5qMOyPuUqU,170707,1152,178,166
ZeyZMwuEFNQ,73586,185,90,30
pHSJKLbQgAM,55170,2316,1073,0
NqqO2c5i3lI,16147,45,11,1
2zdq5_hSI8w,7683,140,8,21
8nqozlP3Rj4,319115,4755,121,498
9k_ARQLK4NU,34249,3922,46,201
zNd2pbCw3KY,34791,1595,284,502
zp5oj_nOs0w,48679,2085,143,147
ga_Ra5R-U0Q,54598,3861,10,284
8WhVEd_nQbU,117991,6530,387,350
EGae9gEo_vU,7153,88,10,17
zTcNN-zwCog,249219,11699,3298,1288
7u6v3_pO-7E,27450,2116,71,32
vOtqfhwvY94,22151,810,410,36
xqA-K6X5pU4,13860,705,120,24
LPkOkDCk_6E,129193,2147,43,362
wqFYaZILMAQ,5917,30,12,4
VsYmwBOYfW8,2765121,35530,1705,2388
kgaO45SyaO4,3701763,56562,2495,11608
pIMp3saKBEM,416619,7997,347,1774
GuR5nYMQ9r8,176563,3874,89,590
5530I_pYjbo,977285,87617,391,5575
VqBfHwKpkbA,104154,2374,324,664
UhAKwwjn2f8,2420770,26899,1686,3621
iu05JKNOhxU,116304,6674,1009,898
LfAZtfAqpxc,65926,5166,62,386
gjXrm2Q-te4,1611093,58474,837,3294
j7HnYUWoGdU,530671,17628,269,9112
7LYTBVUMnj8,35820,631,257,68
PL46RTsQMVA,266628,6285,162,783
oP-6Z1RlaIc,2455165,47921,2236,8112
1D53CK8hyOo,9190,1865,8,21
b-ShNqtj8Yw,1025278,14065,593,1825
F2MGNXj8HLo,1059267,21327,476,2119
ve3oQBjcAGI,1032547,34751,1305,7375
gFbY974MF88,1503131,20618,607,2676
bAkEd8r7Nnw,1529652,63996,896,4697
LXDAu8DnALw,853635,43655,213,2252
xdHmuy1RqCg,680801,36910,938,1510
hWHploA0Td8,11146,171,32,19
mQbsY2KTFHk,437979,8787,287,1616
Lz_UfCYo3hQ,38104,1891,36,179
jfs95qoO6tU,65749,125,14,4
ItYOdWRo0JY,1836419,28647,17817,7860
OnqUcPkXxGI,78612,2842,64,419
5iF7IRbxeJo,42019,191,24,34
GK76BjbQnxc,32534,899,110,373
j95wFuiDM5o,26245,73,42,40
tgRkdR19pl4,9663,55,2,22
KQ3GUEFP53U,64352,2153,42,291
R2ftFltzomA,264167,2125,363,299
uYEgE2fCuK0,78775,1710,31,213
iEADbovEawk,21656,73,8,21
nQ4bhUfoh2w,43667,953,351,147
Wk34UEHDgaY,10106,101,4,17
WKMOuDoVxFw,119437,184,33,267
thVbpV1LT14,250065,2163,183,216
dRSiXsYyo0c,206869,13213,107,646
CtBca6H6Teg,829132,25110,316,3428
Y4EPgngWH2Q,39732,224,13,9
_472k8e2hgA,45140,171,37,84
f1xLsNNlaVk,219940,2924,170,369
dLpjfXhytQQ,52318,669,29,210
DaQ-rJgeQTw,18549,1584,22,414
AZ_YIFRxYGk,1007388,2776,214,406
edkKimh317w,57718,8025,41,450
QInpdmG3ufo,31971,0,0,108
4aYfjEJIYzQ,107238,1926,55,437
YvfYK0EEhK4,462490,14132,795,666
CSFSBY1AFik,499284,354,653,280
2QLoisN-NA8,15880,2063,14,74
jA6B5HIF5lE,44316,107,7,8
MT5-94LOku4,24536,1208,65,196
jgVGTcL85Lc,29811,107,12,35
JVb1tz1Xxpg,15432,0,0,0
5eFVNA4aUFc,4486,8,2,0
mZqKoN0F5XA,7932,93,5,10
8a3TEOAEfcY,2909,73,0,0
Ax1P5Q8Kr9g,971117,50402,1526,10834
yTV6dGEOU5w,807276,113895,43153,16719
_WLZY6X2EgY,336940,22138,1092,2808
Liu7eGLQzak,51426,1855,85,297
bi0zaylanE0,124642,154,38,118
H61xf7-iCqA,43410,3426,41,192
P53ocP6cLZ4,23227,994,6,160
oLo5bnfCr3M,25684,891,189,0
IshupRM1yKo,16987,53,19,13
VOodfaZJMTI,15197,75,6,8
McE4kVmDrKo,16158,0,0,135
yniU2XZCnqY,17331,1147,9,100
UtghnAIMgs8,177569,1686,209,286
9SK1I0V6U5c,983365,60984,578,3837
XxiAy3dstZ8,66438,306,105,143
Y_5cXHcD5Uk,64249,5498,37,201
q8AhPMUBzBs,40001,747,50,41
hbhbu_Kf424,754502,15082,778,2285
ndLYcaq7VMY,760233,44006,11827,5703
ei1LpoBumeQ,4895,20,1,0
R9Dr5ylOZVQ,4033,226,10,61
gckH7RGbiDo,5440,242,19,20
j9ZenoC4E5o,779509,6872,280,1804
1v_SX8Gpt_E,5559,508,0,11
_VfYh3xvVVE,35292,146,34,24
C7o9lcfj-tw,102715,388,52,277
_3bCI9THOps,24860,160,24,27
a8G-vVFKm4M,303877,1658,287,201
oT8vMGBugoQ,27778,1601,44,94
iTIz7pF3Rec,64720,2910,49,554
kV_fgZ-5CAo,27640,633,86,61
Qq_SlZu9VvM,4527,231,4,34
G_M_Jk_McTY,162497,960,333,660
ZQRhUQm9TPQ,34081,65,29,55
8SSahF2slJc,166146,1497,187,240
01QOSw0C-0E,23726,8,47,27
ZqalFWPGVYY,3061,5,3,0
wYce-AjWQcs,97135,674,22,45
m6uDHpfMduI,143548,531,30,14
uOwd27Qy3Sw,63257,0,0,65
v3Z-7UjIIzU,202277,919,63,607
ZDb88pnDBoc,339639,2583,53,245
JRSC6h2wgt4,4903,460,9,77
NIN0B-VONLU,4087,88,9,27
m9JQxSKPjOo,535875,2529,905,291
YlYuakN31-E,5508,824,4,65
qoAkdnZsDuM,4378,87,18,14
f9gSYSRBpH4,120767,8267,85,470
i-9MxEi5oWg,286273,1264,335,782
v_PUbowETb0,13563,1861,5,367
bfGZpaXEZvE,48688,200,5,21
HIz1H_rkrl0,74289,49,15,79
2nuDslpomkQ,2539,598,5,85
1tKaA1TW02I,3503,35,7,0
plMgvHgHIZU,5673,316,18,86
qHrSWmgOUyc,3697,584,9,23
3qtTdwIp89o,80649,822,11,82
BMG8WFMHaIE,2348,0,0,0
0bCxv-ywJ58,40969,3754,10,376
ysrkpnZBFHo,78370,109,374,42
sDKufEV-4wk,46889,1927,69,202
DupviAaffdk,187026,786,121,218
GH7mctgTG9A,2692,248,2,27
pcWKpGzhgq4,391049,5939,106,385
SKNjuBM_k9g,62513,8170,146,1124
W739poSvmaI,29725,29,232,83
LfFtRoyXwpw,13977,1287,46,212
dcd9a3CAumk,31013,3587,45,260
OdOmKn6Cn9s,93486,306,89,72
0HEuEcR6azo,52920,291,47,57
tgMvbPkFF7E,18112,192,12,316
vBbWR-kCgVg,33135,232,35,31
LBAIxgnypHo,16156,79,15,59
d3G6WDI_i9s,3900,122,2,16
wZRqe9wQCVk,3467,96,5,3
coi37En-MFU,42371,92,21,4
l8WRkRopW0c,4222,52,3,9
tIwGaLOhPSM,110212,241,30,13
o-b8Fssz4KQ,19771,52,34,159
R1dmozPn3LI,3059,42,6,3
HXE8Dz86p7k,3978,134,9,93
iSb_z8m0ybE,20265,681,88,298
llyuA7q2BkY,7182,627,18,34
wl1mb6mLEYg,57466,173,33,22
hgpYdGe5Czg,42343,139,41,74
qHh_Zonq0W0,6934,344,16,76
7JJJCxeJd-k,16649,58,11,59
6fv7CqCjiJw,459497,14281,1860,3764
DQZc3pM2sC8,48877,1405,16,83
pavDCJZGRzc,62176,535,53,54
xcg8S7ysGRc,192826,976,189,103
PNUUL1DDSpU,61768,2579,55,148
tYT-JVCsCFw,2164,79,0,4
QOZdPxGgcv4,2222,62,2,10
qTKa9XZUoGI,65933,376,9,10
8WQQbP5Xu04,50875,6124,62,378
