id,views,likes,dislikes,comments
Yx6FaFVw9NY,15107,1090,6,133
reoTUboruJ0,20463,111,20,23
xNfzGWB34b4,23082,31,12,7
t_vpgs7aDco,19567,171,28,204
rx5dx6HxBgg,34206,24,44,21
82Xuew50Dh4,55908,452,18,30
t7I8EBOTx8Y,37786,1102,28,54
-90fWzjVM7w,64656,392,47,83
v3nuxG2Q6Ew,662980,18875,2323,3995
WYV4afdFEvs,98212,670,87,108
ziOwvxFoLw0,92089,895,137,533
JBFmDaNsofY,63293,172,20,1
ifqJNMRupEU,7573,1,1,2
NgsoF5QeG4c,22933,83,28,17
CgbZnZrE9OM,70810,3768,191,257
cA3fSbbeLqI,69459,351,70,190
DWC2o_h5wP0,82449,1305,83,73
SF-ObMCb-Ac,58815,131,37,3
F9Fd3AUaOC4,68808,4664,99,760
s6pM3FlBcAw,103975,162,54,12
t-3rtU-91OU,64197,904,99,130
-7dTzc8kTOY,2820328,96617,6336,12063
g7SdBlW1Zj8,47328,1053,30,75
HroHi1lUg6M,40355,76,43,14
13zgNDLHfyk,85832,423,94,120
GuO4gJs9BFs,279282,2560,292,263
NDuOXWe4KW8,62151,843,67,48
kwGrQZUXBus,81117,1237,90,80
JtSoHMVvKG8,72644,44,44,0
Lww6RzTwTpE,81305,104,52,5
pBmmYgmN2IM,308383,20361,851,13553
Sdar8GHtD0k,1205088,65244,1435,2729
1r4NI9_rC8A,194888,4711,263,416
ntBIQF7TOW4,204389,2687,145,101
2nTvmoZNr9E,177563,292,40,20
7z90pkNWBlw,50914,868,32,42
7zCrBCsRcDc,141759,175,46,50
LwVz-MSPCcA,60541,249,65,10
pzRaJ63e-fg,68992,2769,209,585
9qMbaOzubCc,66231,203,42,23
LY-RHT8xF5I,206015,142,56,11
UZZJT2dN1QM,376679,1308,63,74
iTdm-HsOdNs,12408,113,22,36
rOR5PJgR0DQ,100662,2021,453,242
4TStX6b0uJ0,42923,908,126,92
QYNymjtl_QE,20086,1059,28,61
DckjtlTRxxw,14480,285,16,18
cVYWO4aOhis,23421,181,19,24
3JZDGo55roI,1385906,31396,1008,1073
4q8gvlRQh84,54848,1520,61,166
OZU2E50G4KI,17726,887,21,96
zH2QWFmKqpQ,40576,180,41,30
LWkkT7y0sa4,881751,4833,784,416
aumXGJnd_hU,567803,43269,4038,2872
xHu2OBXVOY8,500547,19966,800,1124
j5Wc2tk1E_c,325990,3646,60,219
rdnSMooiSfY,229544,1189,160,0
Ulz2Pg-aLkY,661348,1160,964,679
nLFX8rBUNdk,719257,77250,1749,73422
LLF_PS4r6Ik,658053,3153,269,236
AlrbKKGIcjI,591632,3231,1327,1030
mrWLYHVmUhA,692610,898,1249,540
NXcGCGGtJI0,327020,15005,606,867
f2GeSskSsy8,311713,3861,381,569
SaT0lLpb0RQ,69392,212,84,7
YoXH6cZYI_s,579980,54435,1542,864
y8uB4JpFSBY,332705,305,496,0
cpkxJ1y_0V4,126781,424,275,201
V2VquEl3zzE,237512,9427,420,964
wvHYHVq9xio,133254,16357,238,2306
9e-90Sz_iN0,297211,2327,201,342
a8G-vVFKm4M,303877,1658,287,201
zFrllD9D9HM,53290,166,372,183
Fvg3EkAp15E,123911,9576,167,936
bHX-8h6OKi8,160856,2983,134,114
Ik9JXtQDqmU,231016,1157,373,420
YbWw3kVdsPs,184479,657,169,210
ysik6z44B1E,1574756,32539,843,3096
MfB_zSC70J0,61702,273,57,34
vkr74kiEPM4,129570,5706,792,790
bFcHu8jCBRw,83576,511,43,171
g6ydk-TTdYM,277287,10310,738,561
gUlzhZ1ETXg,298473,11836,219,610
V8b805Xk6KU,30969,1019,19,148
mhV_vlCc2y8,49903,105,30,7
iNQiWRdqYb0,182089,918,94,79
7U1LJYwTzQM,217750,1652,139,144
2nn-UJIqTNA,50323,88,59,17
uCU5Bc2Q6pc,109639,722,139,34
KmTGHO9if3o,266941,1075,150,127
Dp1Vb81ifb0,55663,2869,36,641
y5TM_K-ldDs,114529,2267,90,47
TQypXve0Ork,259440,1324,218,135
SYtxYDSUF90,353787,24062,510,1011
TFneepFU0Dc,83168,134,118,44
2kyS6SvSYSE,2188675,88100,7150,24225
VwBb77AZOxI,254300,233,201,6
GL1hj67Er8c,219445,1225,126,220
F2MGNXj8HLo,1059267,21327,476,2119
5xsWmHAkQhw,47599,3100,152,463
Rrqv9-zOlu0,100010,0,0,40
pGBRAKrYwEw,48944,84,74,16
7MeCnwGvVI8,101269,1805,152,199
IWaW35OaLBU,96042,530,73,46
uR5ucuK7Ssk,176363,177,100,0
WEH64_sLRsc,66725,807,69,23
KjJ6jg2Zic8,487379,3187,727,192
1SiKopOt-QM,4752153,48776,4615,2502
uJADNiqa7rM,26011,839,37,123
wh_hDwv5vug,26395,0,0,0
b-ShNqtj8Yw,1025278,14064,593,1825
XZsTzaBizs8,151529,580,146,32
9Fg_C0In88g,91377,449,57,62
yEMSUnFCf2o,133609,763,65,243
B4FySeq6DIo,103279,2083,101,220
ShoT7k3w6_M,17506,1439,30,75
_uS0hwCS2II,103810,1193,158,93
gFbY974MF88,1503131,20618,607,2676
jLsNEN-rnG0,17900,2210,49,240
ujWrAy1oRc8,29133,1761,54,580
caUHggmbKFs,37559,69,18,9
GCo-kUYSPmw,172636,885,142,76
dmIn_HJ6AJY,33648,109,5,5
3Kwpk9J8tJM,97993,327,57,339
OK297-PAEs0,103035,714,52,50
ZLFwFwKZCGg,50655,946,35,26
GqdUSoPDkeo,50424,455,122,12
ZrEP2EuSufc,95588,359,43,80
zdiBM3qjIcI,33297,2985,81,217
klabrXbvqU4,78408,718,103,105
gjXrm2Q-te4,1611093,58474,837,3294
A0-Ri5Rciow,23831,1380,7,63
TTcgaz5u9U0,33752,97,174,136
Lo-DguXKxkk,162377,245,86,8
touLlrvDlys,145896,620,102,568
UQ5M6AsmBUI,29917,3598,29,179
49j_Tbl3HWU,170615,587,66,25
RGuAnFgu9ew,430838,812,357,345
DZ9vgenKvDc,34392,85,259,141
1bzpAtPDbxI,29839,1718,36,162
x0Dc7pUPkzE,78876,8775,223,1357
nuI7FJKDo8w,114520,7073,56,773
Q9WbsyxfnpI,9548,0,0,0
DClc5ZhpyWQ,16685,1073,11,167
5ILPvGB726A,163829,584,125,101
vetQ9MlYq_w,80936,4642,199,201
dA22FnCf0CI,20237,63,10,3
R_PvsjjXRz8,37421,69,21,5
NMioU5WLbaY,36980,70,17,6
UnDJFsPwg7o,46622,241,18,4
q20-e-nMAV8,26112,34,3,0
2Drj_O8FH2U,44761,905,36,45
f1xLsNNlaVk,219940,2924,170,369
cCE2o-HCEQA,83551,3434,73,506
EkfWXfbzS8k,109014,2432,81,53
VKsGT2mPEfA,23942,1367,39,250
wgamdaaM36I,15777,0,0,8
DZFXaNpbMvI,160759,745,65,395
y6Zt8DYocdA,91153,384,57,38
fGIBFfRkxyU,46959,111,62,35
PnYrL1rK-z8,42816,169,55,85
qltp1qcIP1Y,200516,2120,194,158
ZGgWlec-82s,76178,327,35,0
