id,views,likes,dislikes,comments
G0ckBMlT10Q,81431,7543,498,21
LayzJtW_3bM,42279,29,23,21
QJ2qTFpWPDY,56513,5668,305,579
RwKBzDAa-Og,176550,2022,1319,0
cxafxkW8mW0,36396,2600,73,157
peSbhTLCLSs,202600,10121,697,761
r-XbG8AbMqY,14518,47,15,42
N7gryZfGIuM,35358,1749,72,166
J76q1qIECHA,4553,85,3,2
X0bEM-F3WQc,9914,8,0,1
hGweYvjzWXg,20744,349,9,92
H9Marm2gE3E,96558,12369,139,1778
Q8xEdPEZ0-w,21724,142,29,175
mGzD7__nteE,12324,272,16,55
StkIpD0HmMw,35984,6634,2474,925
aeCtzt4zFYc,61881,4627,197,492
brqslWxoDUs,3587,186,2,9
xI_4kyCQrHQ,48210,1036,33,326
ZOTIQ-nBDQo,129867,10906,70,526
0AWNWc4zHsI,102205,3180,248,758
5EI57pXtBMY,75839,6602,51,187
gwNxwqiQO2g,4171,2,4,1
zgncGWJRg8U,122061,3134,413,679
EXAZNqEPoeA,3011,3,2,0
oC2-CdzkdNs,3785,3,0,1
yhoM_Cg2d70,21509,1923,30,173
U_4BLnJuR3g,2109573,39671,2899,5662
0x7hArUxG1w,5534,36,8,5
uVUisMz4Nuo,9920,15,4,0
EW7ZFFUneHU,9617,1118,21,289
7FRUMjxIcic,2456,3,0,3
8mgYiHw1v4Y,8272,1501,6,300
a2MlCbxb6sM,8486,280,11,114
zSAao3HusPM,103824,6336,191,576
m-CyVabsc_c,1981,7,4,0
7fRP0OQJX5U,9168,430,67,46
iCYi5RPkRwg,2491,11,0,0
lf_CEf1BFCc,10298,0,0,71
JSQs25vis1w,2036,2,0,0
RG3_HqMfkfM,168680,2449,25,99
or8-83JIzcs,33635,125,35,79
Bv_BGC9Fhnk,18434,72,14,0
BwnhZun8gaM,11857,847,25,73
Zp4uTb9iksw,81309,4479,222,461
soyD0bJYdkU,46426,2550,75,176
joXKzh1pdCI,25375,604,123,0
uew9Dex7Hu4,23345,2870,2494,688
8FcBvjOFMjA,17489,1859,28,819
gc9-MkzxFhk,3856,247,75,45
ZFum4zparE8,107385,612,227,197
3nvDmurpKek,36166,164,22,59
4cShu0JVdcY,71918,2151,1022,198
2Ca-ra4AxKE,181785,375,1972,263
ndLYcaq7VMY,760233,44008,11827,5703
wOBnq0Ewz5k,869974,52309,4654,3482
UHUWRqt0TVc,130780,2048,2282,366
yTV6dGEOU5w,807276,113898,43154,16719
8zKVth3aGi0,108866,66,315,96
DNwTXSrQ6AQ,303064,47783,465,3887
_yfTrT0UkY8,616177,27172,2127,3213
clL9yZSbcE0,1010639,1992,482,1033
kvgZKTJioEQ,456449,18465,1462,3051
gXkB5vfhJhA,36276,3093,48,16
fJdrfv_S8u0,172364,2081,568,526
_WLZY6X2EgY,336940,22138,1092,2808
cPuflcqZ0kI,13971,250,44,8
SctfeNke0HM,787765,3708,1879,2188
wjpcemcfYGU,886496,70814,4486,421
__eE1-KKqdY,18118,18,11,8
Plvd9-5VKvY,500342,8594,290,954
kgaO45SyaO4,3701763,56564,2495,11608
eVBzGROrOdk,22244,37,13,11
sz6lDZPPzK8,133662,5663,7666,420
pavDCJZGRzc,62176,535,53,54
OIrV2p2E6PA,138119,16517,217,827
iR8MW4H8f9o,194067,932,99,128
deSrfUOXmJ0,129474,5204,302,373
PCF92nYXtuo,1305253,34793,1454,3513
4UC9l_NfCvY,303369,29607,396,687
cx6mTuRxQ4Y,112939,2298,196,115
3bPaHZ1am2Q,209391,18309,1500,1119
Wz6NhiXisn0,57079,546,69,414
agb2g0R55UY,120638,45,192,84
UUqxsjHjI6w,362964,21298,1284,4097
rne1xYw_xOw,185303,14896,788,1143
a-TRpFGpYAE,138806,3444,190,170
OdOmKn6Cn9s,93486,306,89,72
x0uu99_tSTU,132928,6271,603,495
mQbsY2KTFHk,437979,8787,287,1616
pbaNLHsu3TY,45354,4567,262,1124
G_M_Jk_McTY,162497,960,333,660
6QQccFsafj4,114864,4637,407,348
dDcB3OVmZrk,415860,4164,1092,895
Oxv2qWNdN-o,103664,805,52,93
1v_SX8Gpt_E,5559,508,0,11
0fIxRHp2Reo,49863,3549,488,897
4PrJ6WO43h0,40269,1653,132,471
ZI44CTfsUq4,205319,10183,521,741
u0Sqd9noJvc,165033,9704,381,721
PgNqlKhQdWM,272169,15795,1144,1412
hdIxeabJyjk,49670,930,85,157
rCkEIuNSV8Y,5691,896,4,29
7dRaNreoUGc,28794,2702,301,104
IgOl7cmeVFE,97705,622,238,0
Zd_O4-GuPzc,92105,4306,2699,956
5zWJ2CjizTg,12379,167,0,12
VWftZgEHKkY,11364,56,0,4
jfs95qoO6tU,65749,125,14,4
FZ6soXIzccs,185963,1448,595,712
Ncy880wFsdI,15582,762,7,35
j3NeyEXaXUA,271230,14929,543,1584
bx3G_kbmEX0,373430,18889,623,1098
GpYnGpnjN9s,49278,4265,68,116
Tqe39e6Ff5M,35871,133,27,27
mdyg5Ui6mNA,2261,6,0,0
b_b8z_cSh8c,13813,34,13,35
R1jed2Wda3E,8298,20,4,4
hG57TPCeHeM,119275,72,15,44
8Lz_78zQWNY,78289,825,569,349
_DI7m86rnAM,6206,2,37,12
9kSQmGWN-p8,36050,4547,48,363
8ytwoVOr69A,36487,4580,108,338
tldBprKRcHw,11189,26,10,4
UfcGsMcCoLo,20120,67,5,20
RPfrZSdjQ8w,21570,82,18,7
iWafHKKsgIc,26305,2073,20,161
gKEzP67arr4,10071,14,2,0
